date,open,high,low,close,volume
2025-01-02,147.64566169966892,148.35523262655482,146.93609077278302,147.64566169966892,10548556.0
2025-01-03,147.64566169966892,148.91237273181545,146.43114098311713,147.67175685746628,21442280.0
2025-01-06,147.67175685746628,146.53230711026725,144.756166586397,145.64423684833213,17624246.0
2025-01-07,145.64423684833213,144.5950826450599,144.10141959531876,144.34825112018933,13043572.0
2025-01-08,144.34825112018933,148.83131011207078,145.4339756605916,147.1326428863312,5128692.0
2025-01-09,147.1326428863312,147.4207623031591,147.16107429095717,147.29091829705814,24569341.0
2025-01-10,147.29091829705814,147.20139597893342,145.6548175494718,146.42810676420262,7190392.0
2025-01-13,146.42810676420262,147.2548169698296,146.57804104778424,146.91642900880692,11927525.0
2025-01-14,146.91642900880692,148.6446096378427,146.8617072526409,147.7531584452418,24255523.0
2025-01-15,147.7531584452418,149.84183850011323,149.65065842401376,149.7462484620635,8702501.0
2025-01-16,149.7462484620635,151.47704518707062,145.93480262786184,148.70592390746623,12650245.0
2025-01-17,148.70592390746623,148.2442571669274,145.61848818698243,146.93137267695494,12245873.0
2025-01-20,146.93137267695494,149.0477156451044,147.83240702663642,148.4400613358704,22322826.0
2025-01-21,148.4400613358704,155.05260340464656,150.80787079314365,152.9302370988951,15003744.0
2025-01-22,152.9302370988951,152.86097049558765,152.1980340950547,152.52950229532118,17020134.0
2025-01-23,152.52950229532118,155.59586301878429,154.2184189849392,154.90714100186176,15905097.0
2025-01-24,154.90714100186176,153.98437999680306,153.13065307745288,153.55751653712795,19863762.0
2025-01-27,153.55751653712795,154.3738891298882,154.2233197135752,154.29860442173168,7666877.0
2025-01-28,154.29860442173168,157.85576000923945,156.19463198285337,157.0251959960464,12234123.0
2025-01-29,157.0251959960464,160.9549820334098,158.66328868933357,159.8091353613717,10611074.0
2025-01-30,159.8091353613717,165.24927287281534,160.57655348297007,162.9129131778927,19950102.0
2025-01-31,162.9129131778927,161.97583583718634,161.51853389221458,161.74718486470047,22778370.0
2025-02-03,161.74718486470047,160.40947020205425,159.92108923422853,160.1652797181414,17442181.0
2025-02-04,160.1652797181414,161.43569994753142,159.29813897170658,160.366919459619,18769530.0
2025-02-05,160.366919459619,159.4646453375117,159.38604930872103,159.42534732311637,7368719.0
2025-02-06,159.42534732311637,160.51014020480724,160.25335279672984,160.38174650076854,22844919.0
2025-02-07,160.38174650076854,163.15225740545682,159.6415093901051,161.39688339778095,10301220.0
2025-02-10,161.39688339778095,160.98560159104662,158.23426615817468,159.60993387461065,24009922.0
2025-02-11,159.60993387461065,161.16047726822472,160.94394767422048,161.0522124712226,23561881.0
2025-02-12,161.0522124712226,163.28611843903192,161.63115643649334,162.45863743776263,15916855.0
2025-02-13,162.45863743776263,165.17228355950107,161.97497500977192,163.5736292846365,18822793.0
2025-02-14,163.5736292846365,160.03206799392947,158.5107817153178,159.27142485462363,13967948.0
2025-02-17,159.27142485462363,158.14450391272436,158.12553197209584,158.1350179424101,16887406.0
2025-02-18,158.1350179424101,156.73066153413436,154.02229650209273,155.37647901811354,17204954.0
2025-02-19,155.37647901811354,157.75422600797302,157.3204461057152,157.5373360568441,21304113.0
2025-02-20,157.5373360568441,159.93728789755886,159.0115034177542,159.47439565765652,23250188.0
2025-02-21,159.47439565765652,160.2458869366403,158.97220218995494,159.60904456329763,15672960.0
2025-02-24,159.60904456329763,161.78323222819864,159.99395889161994,160.8885955599093,12200864.0
2025-02-25,160.8885955599093,161.0587429386549,159.73115767668384,160.39495030766935,9354635.0
2025-02-26,160.39495030766935,159.90494668475668,159.82865354193592,159.8668001133463,10635930.0
2025-02-27,159.8668001133463,163.83149554511914,163.7303375838698,163.78091656449448,21345745.0
2025-02-28,163.78091656449448,162.22824851018007,160.01207628166637,161.12016239592322,19551195.0
